,statefips,population_percentage,year,pop
45,50,0.001862068155968288,2027,650767
46,51,0.0261155924909049,2027,9127034
47,53,0.023052327774681965,2027,8056466
48,54,0.005463076516856651,2027,1909269
49,55,0.017831982600923876,2027,6232028
50,56,0.0017936682143497545,2027,626862
0,01,0.014970436787955795,2028,5263995
1,02,0.002275529136923347,2028,800135
2,04,0.021689021640862737,2028,7626424
3,05,0.009320243112264008,2028,3277240
4,06,0.12230287192714974,2028,43004870
5,08,0.017756731587958065,2028,6243729
6,09,0.01043140565209895,2028,3667953
7,10,0.0029587464366834407,2028,1040372
8,11,0.002152642869920702,2028,756925
9,12,0.06537436282980477,2028,22987326
10,13,0.03266061127514278,2028,11484320
11,15,0.004202026231372576,2028,1477542
12,16,0.005410322260465776,2028,1902410
13,17,0.037175487433334264,2028,13071868
14,18,0.02075180783610234,2028,7296875
15,19,0.009749782795695034,2028,3428277
16,20,0.008604620010060703,2028,3025608
17,21,0.013632225514201353,2028,4793445
18,22,0.014265135608531945,2028,5015993
19,23,0.004156089479100424,2028,1461389
20,24,0.01857404325233401,2028,6531117
21,25,0.02100358554729542,2028,7385407
22,26,0.03037665340713026,2028,10681221
23,27,0.01654041970468687,2028,5816042
24,28,0.009148016376014133,2028,3216680
25,29,0.018576168057901295,2028,6531864
26,30,0.0032461960416577495,2028,1141447
27,31,0.005987000533527601,2028,2105185
28,32,0.008878474887471824,2028,3121903
29,33,0.004217661846431668,2028,1483040
30,34,0.027189562541505247,2028,9560557
31,35,0.006343591915871422,2028,2230572
32,36,0.05959814099451796,2028,20956256
33,37,0.03210242183156689,2028,11288046
34,38,0.002275401581454853,2028,800090
35,39,0.03521457050272876,2028,12382359
36,40,0.012282084447419859,2028,4318700
37,41,0.012916723254020832,2028,4541856
38,42,0.03844229785523771,2028,13517311
39,44,0.003220473474419058,2028,1132402
40,45,0.015702544756100535,2028,5521423
41,46,0.0027314425918269552,2028,960446
42,47,0.020764828564057303,2028,7301454
43,48,0.08939463520698565,2028,31433478
44,49,0.00931424464852193,2028,3275131
45,50,0.001862068155968288,2028,654752
46,51,0.0261155924909049,2028,9182921
47,53,0.023052327774681965,2028,8105798
48,54,0.005463076516856651,2028,1920960
49,55,0.017831982600923876,2028,6270189
50,56,0.0017936682143497545,2028,630700
